,0,1,2,3,4,5
222,2019-10-14,IRPC,บริษัท  ปตท. จำกัด (มหาชน),"9,819,694,600",3.64,48.05
223,2019-10-14,IRPC,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"1,621,252,579",3.64,7.93
224,2019-10-14,IRPC,สำนักงานประกันสังคม,"360,851,700",3.64,1.77
225,2019-10-14,IRPC,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"357,102,861",3.64,1.75
226,2019-10-14,IRPC,STATE STREET EUROPE LIMITED,"335,602,294",3.64,1.64
227,2019-10-14,IRPC,กองทุนเปิด  กรุงศรีหุ้นระยะยาวปันผล,"252,999,100",3.64,1.24
228,2019-10-14,IRPC,THE BANK OF NEW YORK (NOMINEES) LIMITED,"209,435,175",3.64,1.02
229,2019-10-14,IRPC,กองทุนเปิด  กรุงศรีหุ้นปันผล,"139,462,500",3.64,0.68
230,2019-10-14,IRPC,"N.C.B.TRUST LIMITED-POLUNIN DEVELOPING COUNTRIES FUND, LLC","118,549,851",3.64,0.58
231,2019-10-14,IVL,บริษัท  อินโดรามา รีซอสเซส จำกัด,"3,504,991,318",33.00,62.43
232,2019-10-14,IVL,ธนาคาร  กรุงเทพ จำกัด (มหาชน),"270,905,264",33.00,4.83
233,2019-10-14,IVL,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"268,214,266",33.00,4.78
234,2019-10-14,IVL,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"194,321,369",33.00,3.46
235,2019-10-14,IVL,CANOPUS INTERNATIONAL LIMITED,"130,000,000",33.00,2.32
236,2019-10-14,IVL,STATE STREET EUROPE LIMITED,"72,493,422",33.00,1.29
237,2019-10-14,IVL,GIC PRIVATE LIMITED,"48,233,390",33.00,0.86
238,2019-10-14,IVL,สำนักงานประกันสังคม,"47,268,400",33.00,0.84
239,2019-10-14,IVL,กองทุนรวม  วายุภักษ์หนึ่ง โดย บลจ.เอ็มเอฟซี จำกัด (มหาชน),"28,633,800",33.00,0.51
240,2019-10-14,IVL,กองทุนรวม  วายุภักษ์หนึ่ง โดย บลจ.กรุงไทย จำกัด (มหาชน),"28,633,800",33.00,0.51
